month,year,prime,inflation
12,2019,4.75,0.0180
11,2019,4.75,0.0180
10,2019,4.75,0.0180
9,2019,5.00,0.0180
8,2019,5.25,0.0180
7,2019,5.50,0.0180
6,2019,5.50,0.0180
5,2019,5.50,0.0180
4,2019,5.50,0.0180
3,2019,5.50,0.0180
2,2019,5.50,0.0180
1,2019,5.50,0.0180
12,2018,5.50,0.0240
11,2018,5.25,0.0240
10,2018,5.25,0.0240
9,2018,5.25,0.0240
8,2018,5.00,0.0240
7,2018,5.00,0.0240
6,2018,5.00,0.0240
5,2018,4.75,0.0240
4,2018,4.75,0.0240
3,2018,4.75,0.0240
2,2018,4.50,0.0240
1,2018,4.50,0.0240
12,2017,4.50,0.0210
11,2017,4.25,0.0210
10,2017,4.25,0.0210
9,2017,4.25,0.0210
8,2017,4.25,0.0210
7,2017,4.25,0.0210
6,2017,4.25,0.0210
5,2017,4.00,0.0210
4,2017,4.00,0.0210
3,2017,4.00,0.0210
2,2017,3.75,0.0210
1,2017,3.75,0.0210
12,2016,3.75,0.0130
11,2016,3.50,0.0130
10,2016,3.50,0.0130
9,2016,3.50,0.0130
8,2016,3.50,0.0130
7,2016,3.50,0.0130
6,2016,3.50,0.0130
5,2016,3.50,0.0130
4,2016,3.50,0.0130
3,2016,3.50,0.0130
2,2016,3.50,0.0130
1,2016,3.50,0.0130
12,2015,3.50,0.0010
11,2015,3.25,0.0010
10,2015,3.25,0.0010
9,2015,3.25,0.0010
8,2015,3.25,0.0010
7,2015,3.25,0.0010
6,2015,3.25,0.0010
5,2015,3.25,0.0010
4,2015,3.25,0.0010
3,2015,3.25,0.0010
2,2015,3.25,0.0010
1,2015,3.25,0.0010
12,2014,3.25,0.0160
11,2014,3.25,0.0160
10,2014,3.25,0.0160
9,2014,3.25,0.0160
8,2014,3.25,0.0160
7,2014,3.25,0.0160
6,2014,3.25,0.0160
5,2014,3.25,0.0160
4,2014,3.25,0.0160
3,2014,3.25,0.0160
2,2014,3.25,0.0160
1,2014,3.25,0.0160
12,2013,3.25,0.0150
11,2013,3.25,0.0150
10,2013,3.25,0.0150
9,2013,3.25,0.0150
8,2013,3.25,0.0150
7,2013,3.25,0.0150
6,2013,3.25,0.0150
5,2013,3.25,0.0150
4,2013,3.25,0.0150
3,2013,3.25,0.0150
2,2013,3.25,0.0150
1,2013,3.25,0.0150
12,2012,3.25,0.0210
11,2012,3.25,0.0210
10,2012,3.25,0.0210
9,2012,3.25,0.0210
8,2012,3.25,0.0210
7,2012,3.25,0.0210
6,2012,3.25,0.0210
5,2012,3.25,0.0210
4,2012,3.25,0.0210
3,2012,3.25,0.0210
2,2012,3.25,0.0210
1,2012,3.25,0.0210
12,2011,3.25,0.0320
11,2011,3.25,0.0320
10,2011,3.25,0.0320
9,2011,3.25,0.0320
8,2011,3.25,0.0320
7,2011,3.25,0.0320
6,2011,3.25,0.0320
5,2011,3.25,0.0320
4,2011,3.25,0.0320
3,2011,3.25,0.0320
2,2011,3.25,0.0320
1,2011,3.25,0.0320
12,2010,3.25,0.0160
11,2010,3.25,0.0160
10,2010,3.25,0.0160
9,2010,3.25,0.0160
8,2010,3.25,0.0160
7,2010,3.25,0.0160
6,2010,3.25,0.0160
5,2010,3.25,0.0160
4,2010,3.25,0.0160
3,2010,3.25,0.0160
2,2010,3.25,0.0160
1,2010,3.25,0.0160
12,2009,3.25,-0.0040
11,2009,3.25,-0.0040
10,2009,3.25,-0.0040
9,2009,3.25,-0.0040
8,2009,3.25,-0.0040
7,2009,3.25,-0.0040
6,2009,3.25,-0.0040
5,2009,3.25,-0.0040
4,2009,3.25,-0.0040
3,2009,3.25,-0.0040
2,2009,3.25,-0.0040
1,2009,3.25,-0.0040
12,2008,3.25,0.0380
11,2008,4.00,0.0380
10,2008,4.00,0.0380
9,2008,5.00,0.0380
8,2008,5.00,0.0380
7,2008,5.00,0.0380
6,2008,5.00,0.0380
5,2008,5.00,0.0380
4,2008,5.00,0.0380
3,2008,5.25,0.0380
2,2008,6.00,0.0380
1,2008,6.00,0.0380
12,2007,7.25,0.0280
11,2007,7.50,0.0280
10,2007,7.50,0.0280
9,2007,7.75,0.0280
8,2007,8.25,0.0280
7,2007,8.25,0.0280
6,2007,8.25,0.0280
5,2007,8.25,0.0280
4,2007,8.25,0.0280
3,2007,8.25,0.0280
2,2007,8.25,0.0280
1,2007,8.25,0.0280
12,2006,8.25,0.0320
11,2006,8.25,0.0320
10,2006,8.25,0.0320
9,2006,8.25,0.0320
8,2006,8.25,0.0320
7,2006,8.25,0.0320
6,2006,8.25,0.0320
5,2006,8.00,0.0320
4,2006,7.75,0.0320
3,2006,7.75,0.0320
2,2006,7.50,0.0320
1,2006,7.50,0.0320
12,2005,7.25,0.0340
11,2005,7.00,0.0340
10,2005,6.75,0.0340
9,2005,6.75,0.0340
8,2005,6.50,0.0340
7,2005,6.25,0.0340
6,2005,6.25,0.0340
5,2005,6.00,0.0340
4,2005,5.75,0.0340
3,2005,5.75,0.0340
2,2005,5.50,0.0340
1,2005,5.25,0.0340
12,2004,5.25,0.0270
11,2004,5.00,0.0270
10,2004,4.75,0.0270
9,2004,4.75,0.0270
8,2004,4.50,0.0270
7,2004,4.25,0.0270
6,2004,4.00,0.0270
5,2004,4.00,0.0270
4,2004,4.00,0.0270
3,2004,4.00,0.0270
2,2004,4.00,0.0270
1,2004,4.00,0.0270
12,2003,4.00,0.0230
11,2003,4.00,0.0230
10,2003,4.00,0.0230
9,2003,4.00,0.0230
8,2003,4.00,0.0230
7,2003,4.00,0.0230
6,2003,4.00,0.0230
5,2003,4.25,0.0230
4,2003,4.25,0.0230
3,2003,4.25,0.0230
2,2003,4.25,0.0230
1,2003,4.25,0.0230
12,2002,4.25,0.0160
11,2002,4.25,0.0160
10,2002,4.75,0.0160
9,2002,4.75,0.0160
8,2002,4.75,0.0160
7,2002,4.75,0.0160
