YEAR,MONTH,HOUR,TEMP_C,WIND_KPH,CLOUD_PCT
1980,01,00,16.4,1.5,90
1980,01,01,15.85,3,75
1980,01,02,15.85,3,75
1980,01,03,15,3.6,90
1980,01,04,13.9,2.5,90
1980,01,05,13.9,0.47,75
1980,01,06,13.9,2.5,90
1980,01,07,13.3,0.48,90
1980,01,08,13.3,0.56,90
1980,01,09,13.3,2.5,90
1980,01,10,13.3,2.5,90
1980,01,11,12.8,2,90
1980,01,12,12.8,2,90
1980,01,13,12.8,2,90
1980,01,14,11.7,2,90
1980,01,15,11.7,2,90
1980,01,16,11.7,1.02,90
1980,01,17,11.7,1.09,90
1980,01,18,12.2,1,90
1980,01,19,12.2,1.5,90
1980,01,20,13.3,1.5,90
1980,01,21,15,1.5,20
1980,01,22,16.7,1.74,1
1980,01,23,17.2,1.5,1
1980,02,00,16.1,5.1,20
1980,02,01,16.1,5.1,20
1980,02,02,11.95,2.5,20
1980,02,03,11.95,2.5,20
1980,02,04,11.95,2.5,20
1980,02,05,9.44,0.43,75
1980,02,06,9.45,0.59,75
1980,02,07,8.53,1,20
1980,02,08,7.62,1.06,90
1980,02,09,6.7,1.09,75
1980,02,10,6.1,1.54,90
1980,02,11,5.6,1.31,90
1980,02,12,4.4,0.91,90
1980,02,13,5,3.6,90
1980,02,14,7.01,4.1,90
1980,02,15,6.95,4.6,90
1980,02,16,6.7,3.6,90
1980,02,17,7.99,2.5,90
1980,02,18,8.3,3.6,90
1980,02,19,8.3,3.6,90
1980,02,20,11.96,2,90
1980,02,21,13.77,1.5,75
1980,02,22,16.7,1,90
1980,02,23,15.84,5.1,90
1980,03,00,16.96,4.1,1
1980,03,01,16.76,4.1,20
1980,03,02,14.7,2,20
1980,03,03,14.18,3,20
1980,03,04,13.3,3,20
1980,03,05,9.4,1.18,1
1980,03,06,9.4,0.87,1
1980,03,07,9.4,0.5,1
1980,03,08,9.4,1.09,1
1980,03,09,9.4,1.24,1
1980,03,10,9.4,1.13,1
1980,03,11,8.9,0.99,90
1980,03,12,8.9,0.92,90
1980,03,13,8.9,1.07,90
1980,03,14,9.4,3.6,90
1980,03,15,9.77,4.1,90
1980,03,16,9.63,1.5,90
1980,03,17,10.86,2,90
1980,03,18,12.5,5.6,90
1980,03,19,12.2,0.72,90
1980,03,20,14.45,5.1,90
1980,03,21,15.6,2,90
1980,03,22,15.6,5.1,75
1980,03,23,15.13,5.1,90
1980,04,00,13.35,6.6,75
1980,04,01,12.5,9.2,20
1980,04,02,11.76,8.2,20
1980,04,03,10.3,7.2,20
1980,04,04,10,9.2,20
1980,04,05,9.14,6.1,1
1980,04,06,9.14,5.6,1
1980,04,07,9.34,6.6,20
1980,04,08,9.63,4.1,90
1980,04,09,8.3,3,20
1980,04,10,8.3,3,20
1980,04,11,5,3,1
1980,04,12,5,3,1
1980,04,13,5,2,1
1980,04,14,6.63,2,1
1980,04,15,7.49,2.5,1
1980,04,16,9.38,4.1,20
1980,04,17,12.25,4.1,1
1980,04,18,13.05,6.1,1
1980,04,19,13.85,6.1,1
1980,04,20,14.35,7.7,1
1980,04,21,13.91,6.1,1
1980,04,22,13.66,7.2,20
1980,04,23,13.61,7.7,1
1980,05,00,17.49,7.7,20
1980,05,01,15.66,6.1,20
1980,05,02,13.24,5.1,90
1980,05,03,12.5,5.1,90
1980,05,04,12.43,5.1,90
1980,05,05,12.2,3,90
1980,05,06,11.95,4.1,90
1980,05,07,11.95,4.1,90
1980,05,08,12.2,3.6,90
1980,05,09,12.2,3.6,90
1980,05,10,11.7,2,90
1980,05,11,11.7,2,90
1980,05,12,10.6,2.5,90
1980,05,13,11.33,0.48,90
1980,05,14,11.4,1,90
1980,05,15,11.7,3.6,90
1980,05,16,12.5,3,90
1980,05,17,13.1,0.5,75
1980,05,18,15.55,2.5,20
1980,05,19,15.56,2.5,20
1980,05,20,18,6.1,20
1980,05,21,18.05,5.1,20
1980,05,22,18.79,7.2,1
1980,05,23,18.11,8.2,1
1980,06,00,16.7,5.1,20
1980,06,01,16.7,5.1,20
1980,06,02,14.4,4.6,90
1980,06,03,14.4,4.6,90
1980,06,04,14.4,4.6,90
1980,06,05,12.8,2.5,90
1980,06,06,11.7,2,90
1980,06,07,11.7,2,90
1980,06,08,10,1.71,12
1980,06,09,10.3,1.62,22
1980,06,10,9.71,1.51,85
1980,06,11,11.7,2.5,90
1980,06,12,11.7,2.5,90
1980,06,13,11.7,3.6,90
1980,06,14,11.95,3.6,90
1980,06,15,11.95,2,90
1980,06,16,12.5,2,90
1980,06,17,13.05,2,90
1980,06,18,13.3,2.5,90
1980,06,19,14.7,5.1,90
