YEAR,MONTH,HOUR,TEMP_C,WIND_KPH,CLOUD_PCT
1980,01,00,25.6,12.8,20
1980,01,01,25.65,12.8,75
1980,01,02,25.64,11.3,20
1980,01,03,24.43,9.7,75
1980,01,04,23.71,5.6,20
1980,01,05,23.33,9.7,75
1980,01,06,22.78,8.2,20
1980,01,07,22.77,8.2,20
1980,01,08,22.2,6.1,75
1980,01,09,22.21,2.5,75
1980,01,10,22.2,7.2,75
1980,01,11,21.41,7.29,40
1980,01,12,21.27,6.86,40
1980,01,13,21.02,3.6,20
1980,01,14,21.09,2.5,20
1980,01,15,20.75,2.5,20
1980,01,16,20.68,3.6,75
1980,01,17,22.02,5.1,75
1980,01,18,21.63,1.5,20
1980,01,19,23.31,2.5,20
1980,01,20,24.43,3,20
1980,01,21,25.56,3,20
1980,01,22,26.2,6.6,20
1980,01,23,25.67,3,75
1980,02,00,23.07,5.1,90
1980,02,01,23.18,5.1,75
1980,02,02,22.7,4.1,90
1980,02,03,22.24,4.1,20
1980,02,04,22.31,2.5,90
1980,02,05,21.87,3,90
1980,02,06,21.69,4.6,90
1980,02,07,21.49,2.5,90
1980,02,08,20.51,1.5,90
1980,02,09,20.41,2.5,75
1980,02,10,19.66,2,20
1980,02,11,19.12,2,75
1980,02,12,18.32,1.5,90
1980,02,13,18.29,2.5,20
1980,02,14,17.53,2.5,75
1980,02,15,17.55,2,90
1980,02,16,17.27,2,90
1980,02,17,17.57,4.16,90
1980,02,18,17.51,1.5,40
1980,02,19,18.75,1.5,90
1980,02,20,21.98,2.5,90
1980,02,21,22.66,2,90
1980,02,22,23.08,2,90
1980,02,23,23.77,1.5,90
1980,03,00,24.01,6.6,75
1980,03,01,23.86,6.6,75
1980,03,02,23.56,5.6,20
1980,03,03,22.79,9.2,20
1980,03,04,22.4,5.6,75
1980,03,05,21.56,5.1,20
1980,03,06,21.26,4.6,40
1980,03,07,20.96,3,20
1980,03,08,21.08,4.1,90
1980,03,09,21.66,4.6,20
1980,03,10,21.57,4.1,20
1980,03,11,20.89,4.6,20
1980,03,12,20.94,5.6,20
1980,03,13,20.89,3,20
1980,03,14,21.28,3,20
1980,03,15,20.91,5.6,20
1980,03,16,20.54,2.5,90
1980,03,17,20.29,4.6,20
1980,03,18,21.55,5.1,33
1980,03,19,22.68,6.6,20
1980,03,20,23.18,7.2,1
1980,03,21,25,5.6,1
1980,03,22,25.21,8.2,1
1980,03,23,25.99,9.2,1
1980,04,00,26.7,8.2,40
1980,04,01,27.14,8.7,75
1980,04,02,25.31,10.2,75
1980,04,03,24.89,8.2,20
1980,04,04,24.18,6.1,20
1980,04,05,23.1,6.1,20
