YEAR,MONTH,HOUR,TEMP_C,WIND_KPH,CLOUD_PCT
1980,01,00,-0.66,4.1,16
1980,01,01,-1.7,3.1,13
1980,01,02,-1.7,3.1,11
1980,01,03,-2.8,3.1,90
1980,01,04,-2.44,1.45,20
1980,01,05,-2.75,1.79,90
1980,01,06,-2.44,1.9,90
1980,01,07,-2.44,1.9,90
1980,01,08,-2.44,1.55,90
1980,01,09,-2.44,1.54,90
1980,01,10,-2.44,1.29,90
1980,01,11,-2.44,1.5,90
1980,01,12,-2.44,1.5,90
1980,01,13,-2.44,0.99,90
1980,01,14,-2.44,2,90
1980,01,15,-2.69,0.78,90
1980,01,16,-2.19,2.5,90
1980,01,17,-2.19,2.5,90
1980,01,18,-2.19,2.5,90
1980,01,19,-2.18,2.5,90
1980,01,20,-1.9,2.5,90
1980,01,21,-1.9,1.5,90
1980,01,22,-2.19,2,90
1980,01,23,-2.19,2.5,90
1980,02,00,-10,6.7,40
1980,02,01,-9.95,4.1,90
1980,02,02,-9.95,4.1,90
1980,02,03,-10.32,5.2,40
1980,02,04,-10.49,4.1,90
1980,02,05,-10.48,4.1,90
1980,02,06,-12.2,3.6,1
1980,02,07,-12.2,3.6,1
1980,02,08,-12.8,4.6,40
1980,02,09,-12.8,4.6,40
1980,02,10,-12.75,7.2,75
1980,02,11,-12.93,7.2,75
1980,02,12,-12.69,6.1,75
1980,02,13,-12.52,4.1,40
1980,02,14,-11.9,5.1,75
1980,02,15,-10.24,5.1,90
1980,02,16,-10.24,5.1,90
1980,02,17,-7.12,8.7,75
1980,02,18,-7.13,8.7,75
1980,02,19,-6.57,5.6,75
1980,02,20,-6.62,5.6,75
1980,02,21,-7.8,6.7,40
1980,02,22,-7.8,6.7,40
1980,02,23,-9.96,6.2,20
1980,03,00,-13.9,4.6,2
1980,03,01,-13.9,4.6,52
1980,03,02,-15.6,2.6,1
1980,03,03,-15.6,2.6,1
1980,03,04,-15.6,2.6,1
1980,03,05,-15.6,3.1,20
1980,03,06,-15.6,3.1,20
1980,03,07,-15.6,3.1,20
1980,03,08,-15.6,5.2,90
1980,03,09,-15.6,2.1,90
1980,03,10,-15.6,2.1,90
1980,03,11,-15.6,3.1,90
1980,03,12,-15.32,3.1,90
1980,03,13,-15.49,3,90
1980,03,14,-14.94,3,90
1980,03,15,-14.36,3.6,90
1980,03,16,-14.4,3.6,90
1980,03,17,-12.2,3.1,90
1980,03,18,-11.27,3.1,90
1980,03,19,-10.78,2.5,90
1980,03,20,-10.78,2.5,90
1980,03,21,-10.48,3.6,90
1980,03,22,-11.09,4.1,90
1980,03,23,-10.96,3.6,90
1980,04,00,7.8,3.1,90
1980,04,01,7.8,3.1,90
1980,04,02,7.01,2.5,75
1980,04,03,6.9,1,90
1980,04,04,6.7,1,90
1980,04,05,5.6,2.1,90
1980,04,06,5.8,2.1,90
1980,04,07,5.91,2.5,90
1980,04,08,5.8,2.1,90
1980,04,09,5.6,2.1,90
1980,04,10,2.8,1,90
1980,04,11,3.9,1,90
1980,04,12,5.09,2.1,90
1980,04,13,5.45,1.34,90
1980,04,14,6.1,1.74,90
1980,04,15,6.1,1,90
1980,04,16,6.1,1,90
1980,04,17,8.86,1.37,90
1980,04,18,8.86,1.79,90
1980,04,19,8.86,1.71,90
1980,04,20,8.3,1.5,90
1980,04,21,8.3,1.5,90
1980,04,22,8.67,1.5,90
1980,04,23,8.48,2.5,90
1980,05,00,10.6,1,90
1980,05,01,10.6,1.73,90
1980,05,02,10,2.6,90
1980,05,03,10,3.1,90
1980,05,04,10,3,90
1980,05,05,9.7,3,90
1980,05,06,9.64,3.1,90
1980,05,07,9.4,3,90
1980,05,08,9.1,3.1,90
1980,05,09,8.9,2.6,90
1980,05,10,9.16,4.6,90
1980,05,11,9.21,4.6,90
1980,05,12,9.46,3.6,90
1980,05,13,10.26,3.6,90
1980,05,14,10.57,4.1,90
1980,05,15,12.51,4.6,90
1980,05,16,13.74,2.5,90
1980,05,17,14.4,3,90
1980,05,18,14.4,5.2,40
1980,05,19,14.4,5.2,40
1980,05,20,18.3,4.1,40
1980,05,21,18.3,4.1,40
1980,05,22,18.3,4.1,40
1980,05,23,16.7,4.6,90
1980,06,00,20.85,4.1,75
1980,06,01,18.86,3.6,20
1980,06,02,18.05,3,20
1980,06,03,17.34,3.1,1
1980,06,04,18.3,3.6,1
1980,06,05,18.3,3.6,1
1980,06,06,15,2.01,0
1980,06,07,15,1.63,0
1980,06,08,13.3,1.47,20
1980,06,09,12.2,1.38,40
1980,06,10,13.07,2,20
1980,06,11,14.32,2,20
1980,06,12,15.3,1.5,20
1980,06,13,16.05,3,20
1980,06,14,17.8,4.1,20
1980,06,15,20.6,4.1,75
1980,06,16,22.2,4.1,20
1980,06,17,24.32,4.1,20
1980,06,18,25.3,4.6,75
1980,06,19,25.37,5.1,90
1980,06,20,22.82,6.1,90
1980,06,21,21.66,4.1,90
1980,06,22,21.66,4.1,90
1980,06,23,21.1,4.1,90
1980,07,00,19.15,5.1,90
1980,07,01,19.14,5.1,90
1980,07,02,17.57,3,90
1980,07,03,17.2,2.5,90
1980,07,04,17.2,2.5,90
1980,07,05,16.1,2.1,90
1980,07,06,16.34,2.1,90
1980,07,07,16.47,1.29,90
1980,07,08,16.04,2.1,40
1980,07,09,15,2.6,90
1980,07,10,15,2.6,90
1980,07,11,15.6,2.1,20
1980,07,12,18.54,2.1,20
1980,07,13,18.67,1.5,75
1980,07,14,20.65,1.5,75
1980,07,15,21.01,3.1,40
1980,07,16,21.7,3.1,40
1980,07,17,24.4,5.2,40
1980,07,18,24.4,5.2,40
1980,07,19,24.4,5.2,40
1980,07,20,26.1,5.2,40
1980,07,21,26.1,5.2,40
1980,07,22,26.1,5.2,40
1980,07,23,23.9,3.1,40
1980,08,00,28.46,4.6,40
1980,08,01,28.9,4.6,40
1980,08,02,26.14,3.6,75
1980,08,03,26.14,3.6,75
1980,08,04,25.6,2.6,20
