month,year,coal,naturalgas,uranium,oil
12,2019,2.9,1.09,0.0011,9.76
11,2019,2.9,1.19,0.0011,9.53
10,2019,2.9,1.09,0.0011,9.39
9,2019,2.9,1.19,0.0011,9.88
8,2019,2.9,1.2,0.0011,9.55
7,2019,2.9,1.21,0.0011,10.20
6,2019,2.9,1.17,0.0011,10.03
5,2019,2.9,1.15,0.0011,11.21
4,2019,2.9,1.11,0.0011,11.28
3,2019,2.89,1.06,0.0011,10.54
2,2019,2.89,1.08,0.0011,9.74
1,2019,2.89,1.1,0.0011,8.55
12,2018,2.89,1.1,0.0011,7.38
11,2018,2.89,1.05,0.0011,9.38
10,2018,2.89,1.1,0.0011,11.69
9,2018,2.89,1.22,0.0011,11.50
8,2018,2.88,1.24,0.0011,11.29
7,2018,2.88,1.26,0.0011,11.49
6,2018,2.88,1.23,0.0011,11.52
5,2018,2.88,1.19,0.0011,11.36
4,2018,2.88,1.09,0.0011,10.56
3,2018,2.88,1.1,0.0011,9.80
2,2018,2.88,1.11,0.0011,10.01
1,2018,2.87,1.06,0.0011,10.29
12,2017,2.87,1.06,0.0011,9.90
11,2017,2.87,1.07,0.0011,9.71
10,2017,2.87,1.14,0.0011,8.86
9,2017,2.87,1.22,0.0011,8.70
8,2017,2.87,1.25,0.0011,8.21
7,2017,2.87,1.26,0.0011,7.72
6,2017,2.86,1.25,0.0011,7.59
5,2017,2.86,1.19,0.0011,8.14
4,2017,2.86,1.15,0.0011,8.18
3,2017,2.86,1.1,0.0011,8.02
2,2017,2.86,1.13,0.0011,8.51
1,2017,2.86,1.08,0.0011,8.30
12,2016,2.86,1.04,0.0012,8.06
11,2016,2.85,1.1,0.0012,7.21
10,2016,2.85,1.14,0.0012,7.72
9,2016,2.85,1.18,0.0012,7.04
8,2016,2.85,1.19,0.0012,7.11
7,2016,2.85,1.16,0.0012,7.15
6,2016,2.85,1.1,0.0012,7.61
5,2016,2.85,1.05,0.0012,7.05
4,2016,2.84,1,0.0012,6.19
3,2016,2.84,1.01,0.0012,5.56
2,2016,2.84,0.98,0.0012,4.60
1,2016,2.84,0.96,0.0012,4.74
12,2015,2.84,1.03,0.0013,5.72
11,2015,2.84,1.06,0.0013,6.73
10,2015,2.84,1.11,0.0013,7.25
9,2015,2.83,1.2,0.0013,7.09
8,2015,2.83,1.21,0.0013,7.45
7,2015,2.83,1.21,0.0013,9.04
6,2015,2.83,1.22,0.0013,10.15
5,2015,2.83,1.16,0.0013,9.92
4,2015,2.83,1.15,0.0013,8.90
3,2015,2.83,1.12,0.0013,8.14
2,2015,2.82,1.12,0.0013,8.13
1,2015,2.82,1.16,0.0013,7.71
12,2014,2.82,1.22,0.0013,9.89
11,2014,2.82,1.18,0.0013,12.82
10,2014,2.82,1.28,0.0013,14.27
9,2014,2.82,1.34,0.0013,15.41
8,2014,2.82,1.38,0.0013,16.07
7,2014,2.81,1.44,0.0013,17.03
6,2014,2.81,1.42,0.0013,17.29
5,2014,2.81,1.39,0.0013,16.98
4,2014,2.81,1.36,0.0013,16.78
3,2014,2.81,1.34,0.0013,16.75
2,2014,2.81,1.24,0.0013,16.57
1,2014,2.81,1.16,0.0013,15.47
12,2013,2.8,1.12,0.0015,15.62
11,2013,2.8,1.13,0.0015,15.58
10,2013,2.8,1.18,0.0015,16.87
9,2013,2.8,1.26,0.0015,17.84
8,2013,2.8,1.29,0.0015,17.96
7,2013,2.8,1.29,0.0015,17.51
6,2013,2.8,1.3,0.0015,16.75
5,2013,2.79,1.24,0.0015,16.98
4,2013,2.79,1.16,0.0015,16.63
3,2013,2.79,1.11,0.0015,17.09
2,2013,2.79,1.11,0.0015,17.11
1,2013,2.79,1.11,0.0015,16.88
12,2012,2.79,1.17,0.0016,16.16
11,2012,2.79,1.14,0.0016,16.91
10,2012,2.78,1.15,0.0016,17.40
9,2012,2.78,1.19,0.0016,17.56
8,2012,2.78,1.24,0.0016,16.73
7,2012,2.78,1.22,0.0016,16.03
6,2012,2.78,1.21,0.0016,15.89
5,2012,2.78,1.16,0.0016,17.80
4,2012,2.78,1.15,0.0016,18.71
3,2012,2.77,1.17,0.0016,19.14
2,2012,2.77,1.11,0.0016,18.63
1,2012,2.77,1.15,0.0016,18.15
12,2011,2.77,1.19,0.0016,18.37
11,2011,2.76,1.23,0.0016,18.56
10,2011,2.75,1.28,0.0016,17.58
9,2011,2.75,1.35,0.0016,17.42
8,2011,2.74,1.4,0.0016,17.07
7,2011,2.73,1.37,0.0016,18.27
6,2011,2.72,1.37,0.0016,18.17
5,2011,2.72,1.34,0.0016,18.62
4,2011,2.71,1.29,0.0016,19.49
3,2011,2.7,1.27,0.0016,17.66
2,2011,2.69,1.27,0.0016,15.76
1,2011,2.69,1.25,0.0016,15.11
12,2010,2.68,1.26,0.0014,14.76
11,2010,2.66,1.27,0.0014,13.78
10,2010,2.64,1.32,0.0014,13.26
9,2010,2.63,1.37,0.0014,12.61
8,2010,2.61,1.42,0.0014,12.68
7,2010,2.59,1.43,0.0014,12.63
6,2010,2.57,1.39,0.0014,12.40
5,2010,2.56,1.36,0.0014,12.27
4,2010,2.54,1.37,0.0014,13.80
3,2010,2.52,1.39,0.0014,13.24
2,2010,2.5,1.39,0.0014,12.71
1,2010,2.48,1.38,0.0014,12.94
12,2009,2.47,1.3,0.0013,12.53
11,2009,2.46,1.35,0.0013,12.83
10,2009,2.45,1.28,0.0013,12.42
9,2009,2.44,1.34,0.0013,11.66
8,2009,2.43,1.36,0.0013,11.74
7,2009,2.42,1.39,0.0013,10.94
6,2009,2.41,1.36,0.0013,11.44
5,2009,2.4,1.35,0.0013,9.79
4,2009,2.39,1.39,0.0013,8.55
3,2009,2.38,1.49,0.0013,7.92
2,2009,2.38,1.57,0.0013,6.65
1,2009,2.37,1.61,0.0013,6.35
12,2008,2.36,1.66,0.0013,6.14
11,2008,2.34,1.67,0.0013,8.47
10,2008,2.32,1.72,0.0013,12.21
9,2008,2.3,1.87,0.0013,16.62
8,2008,2.28,2.03,0.0013,19.17
7,2008,2.26,2.23,0.0013,22.03
6,2008,2.24,2.1,0.0013,21.76
5,2008,2.22,1.93,0.0013,20.09
4,2008,2.2,1.8,0.0013,18.06
3,2008,2.18,1.72,0.0013,16.72
2,2008,2.17,1.64,0.0013,15.07
1,2008,2.15,1.6,0.0013,14.62
12,2007,2.13,1.61,0.0009,14.35
11,2007,2.12,1.6,0.0009,14.75
10,2007,2.11,1.56,0.0009,13.55
9,2007,2.1,1.56,0.0009,12.47
8,2007,2.08,1.6,0.0009,11.77
7,2007,2.07,1.66,0.0009,12.20
6,2007,2.06,1.69,0.0009,11.25
5,2007,2.05,1.64,0.0009,10.61
4,2007,2.04,1.64,0.0009,10.42
3,2007,2.03,1.68,0.0009,9.71
2,2007,2.02,1.6,0.0009,9.27
1,2007,2.01,1.6,0.0009,8.55
12,2006,2,1.66,0.0005,9.48
11,2006,1.99,1.58,0.0005,9.09
10,2006,1.99,1.44,0.0005,9.09
9,2006,1.98,1.59,0.0005,9.88
8,2006,1.98,1.6,0.0005,11.46
7,2006,1.97,1.57,0.0005,11.72
6,2006,1.96,1.58,0.0005,11.00
5,2006,1.96,1.66,0.0005,11.10
4,2006,1.95,1.65,0.0005,10.76
3,2006,1.95,1.72,0.0005,9.54
2,2006,1.94,1.85,0.0005,9.10
1,2006,1.93,2.02,0.0005,9.63
12,2005,1.93,2,0.0004,8.77
11,2005,1.91,2.11,0.0004,8.62
10,2005,1.9,2.04,0.0004,9.54
9,2005,1.88,1.8,0.0004,10.14
8,2005,1.87,1.57,0.0004,10.12
7,2005,1.85,1.51,0.0004,9.10
6,2005,1.84,1.46,0.0004,8.50
5,2005,1.83,1.48,0.0004,7.45
4,2005,1.81,1.46,0.0004,7.80
3,2005,1.8,1.42,0.0004,7.88
2,2005,1.78,1.4,0.0004,6.85
1,2005,1.77,1.43,0.0004,6.48
12,2004,1.75,1.49,0.0004,5.87
11,2004,1.74,1.46,0.0004,6.88
10,2004,1.73,1.31,0.0004,7.82
9,2004,1.71,1.32,0.0004,6.97
8,2004,1.7,1.38,0.0004,6.80
7,2004,1.69,1.38,0.0004,6.19
6,2004,1.68,1.39,0.0004,5.77
5,2004,1.66,1.32,0.0004,6.15
4,2004,1.65,1.29,0.0004,5.58
3,2004,1.64,1.29,0.0004,5.54
2,2004,1.63,1.3,0.0004,5.29
1,2004,1.61,1.29,0.0004,5.19
12,2003,1.6,1.23,0.0003,4.94
11,2003,1.6,1.19,0.0003,4.74
10,2003,1.6,1.18,0.0003,4.71
9,2003,1.6,1.2,0.0003,4.42
8,2003,1.59,1.2,0.0003,4.91
7,2003,1.59,1.25,0.0003,4.82
6,2003,1.59,1.29,0.0003,4.69
5,2003,1.59,1.24,0.0003,4.34
4,2003,1.59,1.28,0.0003,4.22
3,2003,1.59,1.31,0.0003,5.04
2,2003,1.58,1.14,0.0003,5.56
1,2003,1.58,1.07,0.0003,5.22
12,2002,1.58,1.02,0.0003,4.60
11,2002,1.59,0.98,0.0003,4.08
10,2002,1.59,0.95,0.0003,4.48
9,2002,1.6,0.93,0.0003,4.68
8,2002,1.6,0.92,0.0003,4.43
7,2002,1.61,0.95,0.0003,4.31
6,2002,1.61,0.97,0.0003,4.04
5,2002,1.62,0.95,0.0003,4.21
4,2002,1.62,0.94,0.0003,4.13
3,2002,1.63,0.9,0.0003,3.84
2,2002,1.64,0.91,0.0003,3.14
1,2002,1.64,0.93,0.0003,2.94
12,2001,1.65,0.91,0.0003,2.75
11,2001,1.64,0.97,0.0003,2.77
10,2001,1.64,0.91,0.0003,3.23
9,2001,1.64,0.99,0.0003,3.88
8,2001,1.64,1.09,0.0003,4.10
7,2001,1.64,1.13,0.0003,3.92
6,2001,1.64,1.21,0.0003,4.13
5,2001,1.64,1.31,0.0003,4.25
4,2001,1.64,1.29,0.0003,3.96
3,2001,1.63,1.31,0.0003,3.97
