YEAR,MONTH,HOUR,TEMP_C,WIND_KPH,CLOUD_PCT
1980,01,00,18.3,6.2,40
1980,01,01,18.3,6.2,40
1980,01,02,17.2,4.1,90
1980,01,03,17.2,4.1,90
1980,01,04,17.2,4.1,90
1980,01,05,16.7,2.6,90
1980,01,06,16.7,2.6,90
1980,01,07,16.7,2.6,90
1980,01,08,16.1,1.5,40
1980,01,09,15,2.6,99
1980,01,10,13.9,3.6,90
1980,01,11,13.9,3.6,90
1980,01,12,14.4,0.79,20
1980,01,13,10.69,0.51,95
1980,01,14,14.04,0.71,20
1980,01,15,11.9,1.15,20
1980,01,16,11.9,1.36,20
1980,01,17,15.6,2.6,40
1980,01,18,18.3,1.5,40
1980,01,19,18.3,1.5,40
1980,01,20,21.7,5.2,40
1980,01,21,21.7,5.2,40
1980,01,22,21.7,5.2,40
1980,01,23,21.1,2.6,75
1980,02,00,18.9,4.1,90
1980,02,01,18.9,4.1,90
1980,02,02,16.95,4.6,40
1980,02,03,16.95,4.6,40
1980,02,04,16.95,4.6,40
1980,02,05,15.6,3.1,40
1980,02,06,15.6,3.1,40
1980,02,07,15.6,3.1,40
1980,02,08,16.7,2.1,20
1980,02,09,16.7,2.1,20
1980,02,10,15,1.5,1
1980,02,11,15,1.5,1
1980,02,12,15.6,3.6,1
1980,02,13,15.6,3.6,1
1980,02,14,14.4,1.5,1
1980,02,15,14.4,1.5,1
1980,02,16,14.4,1.5,1
1980,02,17,18.3,3.6,1
1980,02,18,20,4.6,1
1980,02,19,20,4.6,1
1980,02,20,22.8,5.7,1
1980,02,21,22.8,5.7,1
1980,02,22,22.8,5.7,1
1980,02,23,21.1,6.2,1
1980,03,00,17.8,6.2,90
1980,03,01,17.8,6.2,90
1980,03,02,15.6,2.6,90
1980,03,03,15.6,2.6,90
1980,03,04,15.6,2.6,90
1980,03,05,15,2.1,90
1980,03,06,15,2.1,90
1980,03,07,15,2.1,90
1980,03,08,14.4,0.17,90
1980,03,09,14.4,0.67,90
1980,03,10,14.4,0.48,90
1980,03,11,13.9,2.1,90
1980,03,12,13.9,2.1,90
1980,03,13,13.9,2.1,90
1980,03,14,14.15,2.1,90
