YEAR,MONTH,HOUR,TEMP_C,WIND_KPH,CLOUD_PCT
1980,01,00,15,1.5,90
1980,01,01,14.15,1.5,90
1980,01,02,14.2,3.1,90
1980,01,03,14.15,1.26,40
1980,01,04,13.34,4.1,75
1980,01,05,12.8,2.6,40
1980,01,06,12.5,2.1,40
1980,01,07,11.95,1.48,90
1980,01,08,11.7,1.26,90
1980,01,09,11.7,2.6,90
1980,01,10,11.4,3,90
1980,01,11,11.1,3.6,90
1980,01,12,11.15,3.1,90
1980,01,13,11.4,5.1,90
1980,01,14,11.14,4.6,90
1980,01,15,11.15,5.7,90
1980,01,16,11.14,3.6,90
1980,01,17,10.85,4.6,90
1980,01,18,11.26,2.1,90
1980,01,19,11.03,2,90
1980,01,20,11.94,1.5,90
1980,01,21,12.25,1.5,90
1980,01,22,12.73,4.1,90
1980,01,23,13.04,3.6,90
1980,02,00,12.5,4.1,90
1980,02,01,12.66,3.6,90
1980,02,02,12.33,2,90
1980,02,03,11.7,2.6,90
1980,02,04,11.33,2.5,90
1980,02,05,11.33,4.1,90
1980,02,06,11.4,2.6,90
1980,02,07,11.4,1.5,90
1980,02,08,11.33,2,90
1980,02,09,10.85,1,90
1980,02,10,10.85,2.5,90
1980,02,11,10.8,1.5,90
1980,02,12,10.3,1.5,90
1980,02,13,8.91,2.1,75
1980,02,14,9.2,2.1,90
1980,02,15,9.75,2.1,90
1980,02,16,9.76,1.39,90
1980,02,17,10.24,2,90
1980,02,18,11.7,2.6,90
1980,02,19,11.7,4.6,40
1980,02,20,12.8,1.5,90
1980,02,21,13.35,1.5,90
1980,02,22,14.51,1.5,90
1980,02,23,14.94,1,90
1980,03,00,16.65,4.1,20
1980,03,01,16.54,4.1,1
1980,03,02,15.25,4.1,20
1980,03,03,14.7,4.1,20
1980,03,04,14.7,4.1,20
1980,03,05,13.3,3.1,20
1980,03,06,13.3,3.1,20
1980,03,07,13.3,3.1,20
1980,03,08,12.5,2.1,90
1980,03,09,12.5,2.1,90
1980,03,10,12.5,2.1,90
1980,03,11,11.7,1.5,90
1980,03,12,11.7,1.5,90
1980,03,13,11.7,2.6,90
1980,03,14,11.7,2.1,90
1980,03,15,11.7,2.1,90
1980,03,16,11.7,0.28,90
1980,03,17,12.37,2,90
1980,03,18,13.3,2.1,90
1980,03,19,13.3,2.1,90
1980,03,20,14.45,2.1,90
1980,03,21,14.45,2.1,90
1980,03,22,14.45,2.1,90
1980,03,23,15,1,90
1980,04,00,14.7,7.7,20
1980,04,01,14.76,6.7,1
1980,04,02,13.96,9.2,20
1980,04,03,11.95,8.8,20
1980,04,04,12.43,8.2,1
1980,04,05,11.53,10.2,20
1980,04,06,11.95,8.8,40
1980,04,07,11.53,7.7,20
1980,04,08,11.1,7.7,20
1980,04,09,10.55,7.2,20
1980,04,10,10.55,7.2,20
1980,04,11,9.4,4.6,20
1980,04,12,9.4,4.6,20
1980,04,13,9.4,4.6,20
1980,04,14,9.45,5.7,1
1980,04,15,9.45,5.7,1
1980,04,16,9.45,5.7,1
1980,04,17,13.9,3.6,1
1980,04,18,13.9,3.6,1
1980,04,19,14.56,3.6,1
1980,04,20,15.6,4.6,1
1980,04,21,15.3,7.2,0
1980,04,22,15.24,7.7,1
1980,04,23,15.44,6.7,1
1980,05,00,18.85,4.1,1
1980,05,01,18.3,5.2,1
1980,05,02,15.79,5.2,0
1980,05,03,13.6,5.2,0
1980,05,04,13.6,5.2,2
1980,05,05,12.5,3.1,20
