YEAR,MONTH,HOUR,TEMP_C,WIND_KPH,CLOUD_PCT
1980,01,00,24.4,2.5,17
1980,01,01,24.4,2.5,14
1980,01,02,24.23,2,1
1980,01,03,23.9,1.5,14
1980,01,04,23.9,1.5,19
1980,01,05,23.2,1.5,1
1980,01,06,23.16,2,26
1980,01,07,23.2,1.5,1
1980,01,08,22.21,1.5,1
1980,01,09,21.98,1.5,1
1980,01,10,22.21,1.5,1
1980,01,11,22.79,2,1
1980,01,12,23.62,2,8
1980,01,13,25.41,2.5,75
1980,01,14,27.54,2,75
1980,01,15,27.71,4.1,40
1980,01,16,27.74,4.1,40
1980,01,17,28.43,6.1,40
1980,01,18,28.4,6.1,40
1980,01,19,27.4,4.76,75
1980,01,20,27.8,3.6,20
1980,01,21,27.2,3,40
1980,01,22,27.2,2,20
1980,01,23,24.44,2,1
1980,02,00,23.9,1.5,19
1980,02,01,24.04,1.5,20
1980,02,02,22.5,1.5,20
1980,02,03,21.79,2,1
1980,02,04,21.88,2,1
1980,02,05,22,1.5,1
1980,02,06,22,1.5,1
1980,02,07,22.2,1.5,1
1980,02,08,22.2,1.5,1
1980,02,09,21.1,1.5,71
1980,02,10,21.1,1.5,68
1980,02,11,23.9,2.5,1
1980,02,12,22.8,2,12
1980,02,13,24.4,2,1
1980,02,14,27.2,2,1
1980,02,15,29,2.6,12
1980,02,16,29,2.6,21
1980,02,17,30,4.6,18
1980,02,18,30,4.6,32
1980,02,19,30,5.6,20
1980,02,20,28.9,5.6,20
1980,02,21,27.34,4.1,52
1980,02,22,27.25,2,1
1980,02,23,26.8,1.5,1
1980,03,00,24.22,2.5,1
1980,03,01,24.23,2.5,1
1980,03,02,24,2,5
1980,03,03,24,2,7
1980,03,04,22.32,3.37,8
1980,03,05,23,2.1,13
1980,03,06,23,2.1,23
1980,03,07,22.2,2,1
1980,03,08,22.2,1.5,1
1980,03,09,22.2,1.5,1
1980,03,10,22.2,1.5,1
1980,03,11,21.7,2.5,20
1980,03,12,23.3,2,20
1980,03,13,25.6,2.5,20
1980,03,14,27.2,3,20
1980,03,15,27,5.7,20
1980,03,16,27,5.7,20
1980,03,17,28.3,8.7,20
1980,03,18,28.3,8.7,20
1980,03,19,28.3,6.1,20
1980,03,20,28.3,6.1,20
1980,03,21,27.8,5.1,20
1980,03,22,26.1,4.1,20
1980,03,23,26.1,4.1,20
1980,04,00,24.41,2,1
1980,04,01,24.34,2,1
1980,04,02,24.4,2,1
1980,04,03,24.4,2.5,1
1980,04,04,22.8,1.5,1
1980,04,05,22.8,2,1
1980,04,06,22.8,1.5,7
1980,04,07,22.2,1.5,1
1980,04,08,22.8,1.5,1
1980,04,09,22.2,1.5,1
1980,04,10,21.7,1.5,1
1980,04,11,22.8,1.5,1
1980,04,12,25.6,2,6
1980,04,13,27.2,3.6,20
1980,04,14,27.8,1.5,20
1980,04,15,31.1,3,20
1980,04,16,31.1,3,20
1980,04,17,31.7,4.6,20
1980,04,18,32,2.1,1
1980,04,19,31.1,6.1,1
1980,04,20,30,4.6,1
1980,04,21,28.9,4.1,0
1980,04,22,28.9,3.6,20
1980,04,23,27.8,6.1,20
1980,05,00,27,3.6,48
1980,05,01,27.2,3,1
1980,05,02,27.2,3,1
1980,05,03,27,3.1,20
